id,category,qusasa
1,1,قال للصحفيين الشباب العاملين تحت إمرته: تعليماتى لا تناقش.. أنتم لا تفقهون شيئا.. ثم عاد يواصل كتابة مقاله عن دكتاتورية الحكام.
2,1,قال لى: نحن نتحرك بفرق الجهد.. الغرب يتحرك بمجموع الجهد.. الفرد هنا متميز لكن المجموع فاشل.. هنالك يوجد نظام مستقر يستفيد من كل جهد مهما صغر.
3,1,الأمريكان لم يقصفوا قط مدينة بها مكدونالد.. كلمة قالها جندي أمريكي في العراق وأرى أنها تلخص كل شيء!!!
4,1,لصوص ينهبون شعبًا جاهلًا في بلد بلا موارد في زمن أغبر.. أعتقد أن هذا يلخص الموقف!
5,1,شارون مريض.. للأسف لا أعتقد أنه سيتعذب كما تعذب أبو محمد الدرة وأبوا إيمان حجو.. فلندع الله ألا يريحه بالموت الآن.. أن تكون غيبوبته أليمة وأن ينهض عاجزًا، وأن يجرب الاحتقار والعجز والمقت وهو يبلل فراشه بالبول والغائط.
6,1,عنق زجاجة.. عنق زجاجة.. منذ عام 1967 ونحن نمر بعنق زجاجة.. هذا أنبوب اختبار ولا يمكن أن يكون زجاجة أبدًا.
7,1,أختلف مع السادات في كل شيء فيما عدا مقته الشديد لمدينة القاهرة! في هذه النقطة أنحني له.. كيف يحسب هؤلاء التعساء أنهم يعيشون؟ وأي نوع من الحياة هذه؟
8,1,كانوا يهتفون: بالروح والدم نفديك يا لبنان.. تشاءمت من هذا النداء سيئ السمعة الذي لم يحقق شيئا على طول تاريخ أمتنا.. لا تستعملوه هنا من فضلكم.
9,1,سوف نفشل ليس لأن الظروف ضدنا.. سنفشل لأننا قررنا أننا سنفشل.
10,1,مصر غارقة في دوامة: كيف أعمل وأنت لا تعطيني مالاً؟ كيف أعطيك مالاً وأنت لا تعمل؟
11,2,عددت خمسين مرة (كشف المستور) و(الغرف المغلقة) على الصفحات الأولى من الجرائد.. صارت هناك عناوين إجبارية مثل (الموساد ومشايخ الغرف المغلقة يكشفون المستور في حفلات الجنس الجماعي).. هذا عنوان من تأليفي لكني متأكد من أنه نشر.
12,3,خطيبتي العزيزة.. إما أنك تلقيت هدية عمرك، وإما أنك شربت أقسى خدعة في حياتك.. أنا لا أعرف وأنت لن تعرفي إلا بعد أعوام!
13,3,كقاعدة: الفتاة الجميلة تبدو في أسوأ حالاتها يوم الزفاف، والفتاة متوسطة الجمال تبدو كأنها أميرة أحلام.
14,3,يبحث الرجل عن فتاة مهذبة طيبة جميلة وبنت ناس.. ما إن يجد هذه الجوهرة حتى يكافئها بأن يهديها نفسه!
15,3,(إيفت) اللفظة العبقرية التي ابتكرها محمد ابني للتذمر.. خليط مذهل من (أف) و(زفت) و(ييه)! أطالب بتسجيلها وحق الأداء العلني لها.
16,3,كيف يا أبي – وأنت ملء سمعي وبصري – ينظر لك ابني ذات النظرة المبهمة الغامضة التي كنت أنظر بها لحكاياتك عن جدي؟ لقد كنت.. ثم لم تعد.. مثل من سبقوك!
17,3,"المراهق هو ذلك الكائن الذي يخرج من البيت في السابعة صباحًا، ولا يعود في موعد الغداء تاركًا أهله غارقين في خواطر سوداء عن موته، ثم يعود في منتصف الليل واجدًا لديه من الشجاعة الأدبية ما يمنعه من أن يكون قد مات فعلًا!

التعبير للعبقري محمد عفيفي"
18,3,التعبير عن الإعجاب لدى الأطفال بسيط جداً وعملي جداً.. كل ما هو جميل يجب أن يحرق أو يحطم أو يمزق أو يبدد!
19,3,هذه العلامات على ابني المراهق أعرفها.. إنه شارد يمضي الساعات صامتًا.. على منضدة الطعام يعبث بالملعقة في طبق الأرز بلا رغبة وبسأم.. بعد الطعام يسند رأسه على كفيه ويتنهد.. إنه يصفر في شراهة.. إنه ينظر للنجوم.. لم يعد يركل الباب عند الدخول كعادته.. صوت فيروز لا يكف عن الصراخ في غرفته.. أعرف هذه العلامات.. وبرغم كل شيء أسعد لها.. معناها أن اللعبة مستمرة لم تتوقف.. معناها أن الأرض لن تخلو من البشر.. لكن رفقًا به أيتها الهرمونات.. لا تعذبيه كثيرًا من فضلك.
20,4,مهما بلغ الإنسان من صراحة فكل واحد يزعم أنه مهم وحقق نجاحًا.. لم يجسر واحد بعد على أن يعترف بأنه أحمق أو أنه حثالة بلا قيمة.
21,4,هذا هو المصري الأصيل.. يعرض حياته للموت كي لا يدفع ثمن تذكرة القطار، ثم يدفع أضعاف هذا في مكالمة موبايل أو ثمنًا لحجري شيشة.
22,4,كلمتا (مواز) و(عمودي عليه) تسببان مشكلة لأكثر الناس.. عندما يكلمك رجل الشارع عن (شارع مواز) فهو غالبًا يتحدث عن (شارع متعامد).
23,4,أحسدهم لأنهم ما زالوا قادرين على التفكير بهذه السذاجة.. كنت أفكر هكذا عام 1983.
24,4,أدب الاختلاف.. معنى أنك لا ترى رأيي أنك وغد وأحمق. أتظاهر بالرقي لكني مغتاظ وأود لو حطمت وجهك.
25,4,كلهم منهمك ووقته ضيق.. أعتقد أنني الوغد الوحيد غير المهم في مصر كلها.
26,4,هو نمط الموظف الذي يحب ارتداء الجلباب بعد الظهر، ويعرف أناسًا مهمين في الضرائب العقارية، وله قريب لواء في الجمارك.. ولا يكف عن دعوتك لداره مكررًا بلا انقطاع: والله يا بيه الوالدة حتسعد.. والله يا بيه الوالدة حتسعد.
27,4,ككل سائق تاكسي كان يعتقد أن كل سائق سيارة ملاكي وغد رقيع ذاهب لممارسة الكبائر بأنواعها أو عائد من ذلك.. وقطعًا أمه هي التي اشترت له هذه السيارة.
28,4,القاعدتان المقدستان لسائق التاكسي هما: ممنوع أن تضيء كشافاتك أبدًا.. ممنوع أن تلمس يدك اليسرى المقود.. من يخالف هاتين القاعدتين رقيع وأحمق.
29,4,الإنسان الحساس!! باختصار شخص مشكلته طيلة اليوم هي نفسه.. كم أنه رائع والآخرون أوغاد.. هذا لا يطاق!
30,4,هو طراز الرجل الذي يرى أن ارتداء الطربوش والتصوير بالشيشة شيء ظريف جدًا.. وهو مستعد للسفر والمشي نصف كيلومتر لكي يقول للببغاء: أبوك السقا مات!
31,4,من يضحك أخيرًا....... هو شخص بطيء التفكير.
32,4,كأي واحد عاد من الخليج صارت مهمته إقناع الباقين هنا أنهم يعيشون كالكلاب.. عندنا في الخليج الطرق ممهدة.. عندنا لا تجد هذا الزحام.. هل هذه ملاه؟ عندنا الطعام أشهى والجو أجمل والناس ألطف.
33,4,يجلس كالثور شبه عار على رمال الشط يتحسس جسده المترهل في فخر.. ينزل البحر ليتظاهر بالسباحة كالكلاب، ثم يصعد إلى الشط ليتمرغ في الرمال كالحمير.. أية متعة في هذا؟
34,4,كانت فرقة من فرق الأفراح التي تزف العريسين.. نفس الوجوه الكالحة التي تلقى أكثرها مطواة في وجهه في مناسبة ما.. تعرف جيداً أنهم سيتعاطون (الكيف) بما سيحصلون عليه من هذا الزفاف.. ضوضاء لا تفهم فحواها سوى أن كل مقطع غنائي ينتهي بـ (الليلة).. مع ذلك الولع المرضي بتشويه أغاني (أم كلثوم).
35,4,لم يكن يفهم النكات، وكان يعذبه ذلك الشيء الذي يطلقون عليه دعابة.. ما معناها ولماذا يسمعونها فيهتزون ويضحكون إلى درجة انقطاع الأنفاس؟ (واحد جه يقعد على قهوة قعد على شاي).. ما معناها؟ من المستحيل الجلوس على شاي أصلاً.
